"yearid","lgid","teamid","franchid","divid","rank","g","ghome","w","l","divwin","wcwin","lgwin","wswin","r","ab","h","h2b","h3b","hr","bb","so","sb","cs","hbp","sf","ra","er","era","cg","sho","sv","ipouts","ha","hra","bba","soa","e","dp","fp","name","park","attendance","bpf","ppf","teamidbr","teamidlahman45","teamidretro"
2006,"AL","OAK","OAK","W",1,162,81,93,69,"Y","N","N","N",771,5500,1429,266,22,175,650,976,61,20,50,56,727,679,4.21,5,11,54,4355,1525,162,529,1003,84,173,0.986,"Oakland Athletics","McAfee Coliseum",1976625,97,97,"OAK","OAK","OAK"
2007,"AL","OAK","OAK","W",3,162,81,76,86,"N","N","N","N",741,5577,1430,295,16,171,664,1119,52,20,49,56,758,689,4.28,4,9,36,4344,1468,138,530,1036,90,153,0.985,"Oakland Athletics","McAfee Coliseum",1921844,94,94,"OAK","OAK","OAK"
2008,"AL","OAK","OAK","W",3,161,81,75,86,"N","N","N","N",646,5451,1318,270,23,125,574,1226,88,21,48,35,690,640,4.01,4,7,33,4305,1364,135,576,1061,98,169,0.984,"Oakland Athletics","McAfee Coliseum",1665256,95,95,"OAK","OAK","OAK"
2009,"AL","OAK","OAK","W",4,162,81,75,87,"N","N","N","N",759,5584,1464,307,21,135,527,1046,133,48,50,54,761,685,4.26,2,10,38,4342,1486,156,523,1124,105,155,0.983,"Oakland Athletics","Oakland-Alameda County Coliseum",1408783,99,99,"OAK","OAK","OAK"
2010,"AL","OAK","OAK","W",2,162,81,81,81,"N","N","N","N",663,5448,1396,276,30,109,527,1061,156,38,47,51,626,566,3.56,7,17,38,4295,1315,153,512,1070,99,147,0.984,"Oakland Athletics","Oakland-Alameda County Coliseum",1418391,100,100,"OAK","OAK","OAK"
2011,"AL","OAK","OAK","W",3,162,81,74,88,"N","N","N","N",645,5452,1330,280,29,114,509,1094,117,43,50,57,679,597,3.71,6,12,39,4343,1380,136,519,1160,124,145,0.979,"Oakland Athletics","Oakland-Alameda County Coliseum",1476791,97,98,"OAK","OAK","OAK"
2012,"AL","OAK","OAK","W",1,162,81,94,68,"Y","N","N","N",713,5527,1315,267,32,195,550,1387,122,32,45,34,614,569,3.48,1,13,47,4410,1360,147,462,1136,111,135,0.982,"Oakland Athletics","O.co Coliseum",1679013,97,97,"OAK","OAK","OAK"
2013,"AL","OAK","OAK","W",1,162,81,96,66,"Y","N","N","N",767,5521,1403,301,25,186,573,1178,74,28,45,49,625,574,3.56,6,13,46,4356,1339,163,428,1183,97,112,0.983,"Oakland Athletics","O.co Coliseum",1809302,95,93,"OAK","OAK","OAK"
2014,"AL","OAK","OAK","W",2,162,81,88,74,"N","Y","N","N",729,5545,1354,253,33,146,586,1104,83,20,49,43,572,524,3.22,7,13,31,4390,1269,147,406,1244,111,150,0.982,"Oakland Athletics","O.co Coliseum",2003628,99,97,"OAK","OAK","OAK"
2015,"AL","OAK","OAK","W",5,162,81,68,94,"N","N","N","N",694,5600,1405,277,46,146,475,1119,78,29,40,38,729,664,4.14,5,15,28,4334,1402,172,474,1179,126,154,0.979,"Oakland Athletics","O.co Coliseum",1768175,97,98,"OAK","OAK","OAK"
